budget,genres,id,original_title,popularity,production_companies,release_date,revenue,runtime,title,vote_average,vote_count
65000000.0,['Drama'],11170.0,We Are Marshall,11.637,"['Wonderland Sound and Vision', 'Thunder Road', 'Legendary Entertainment', 'Warner Bros. Pictures']",2006,43545364.0,124.0,We Are Marshall,6.9,370.0
2000000.0,"['Thriller', 'Crime', 'Horror']",43947.0,I Spit on Your Grave,14.573,"['Anchor Bay Films', 'CineTel Films']",2010,572809.0,108.0,I Spit on Your Grave,6.4,1135.0
14000000.0,"['Romance', 'Drama']",43949.0,Flipped,11.264,['Reiner / Greisman Productions'],2010,1755212.0,89.0,Flipped,7.4,1013.0
31000000.0,['Drama'],27569.0,Extraordinary Measures,8.118,"['Double Feature Films', 'CBS Films']",2010,15134293.0,105.0,Extraordinary Measures,6.3,181.0
130000000.0,"['Adventure', 'Action', 'Science Fiction']",101299.0,The Hunger Games: Catching Fire,22.097,"['Lionsgate', 'Color Force']",2013,847423452.0,146.0,The Hunger Games: Catching Fire,7.4,12170.0
60000000.0,"['Fantasy', 'Drama', 'Romance']",109491.0,Beautiful Creatures,15.797,"['Alcon Entertainment', 'Belle Pictures', '3 Arts Entertainment', 'Warner Bros. Pictures']",2013,60052138.0,124.0,Beautiful Creatures,5.8,2027.0
15000000.0,"['Science Fiction', 'Drama', 'Thriller']",76726.0,Chronicle,17.294,"['Dune Entertainment', 'Davis Entertainment', 'Adam Schroeder Productions', '20th Century Fox']",2012,145000000.0,84.0,Chronicle,6.7,3368.0
18000000.0,"['Family', 'Drama']",43959.0,Soul Surfer,11.931,"['FilmDistrict', 'Brookwell-McNamara Entertainment', 'Affirm Films', 'Mandalay Pictures', 'TriStar Pictures']",2011,47088990.0,112.0,Soul Surfer,7.0,769.0
0.0,"['Documentary', 'Action', 'Adventure']",11194.0,Touching the Void,10.538,"['UK Film Council', 'Darlow Smithson Productions', 'Film4 Productions']",2003,13885802.0,106.0,Touching the Void,7.7,233.0
110000000.0,"['Action', 'Mystery', 'Thriller']",27576.0,Salt,15.83,"['Wintergreen Productions', 'Columbia Pictures', 'Relativity Media', 'Di Bonaventura Pictures']",2010,293329073.0,100.0,Salt,6.3,3595.0
80000000.0,"['Thriller', 'Adventure', 'Action']",27578.0,The Expendables,16.294,"['Nimar Studios', 'Rogue Marble', 'Millennium Films', 'Nu Image']",2010,274470394.0,103.0,The Expendables,6.1,5105.0
0.0,"['Action', 'Adventure', 'Comedy']",11199.0,Wild Hogs,11.535,"['Touchstone Pictures', 'Wild Hogs Productions']",2007,253625427.0,100.0,Wild Hogs,5.8,1355.0
20000000.0,"['Crime', 'Drama', 'Thriller']",27579.0,The American,11.549,"['Twins Financing', 'This Is That Productions', 'Focus Features', 'Greenlit Rights', 'Smoke House Pictures']",2010,65464324.0,104.0,The American,5.8,783.0
100000000.0,"['Action', 'Comedy', 'Crime']",27581.0,The Other Guys,10.479,"['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic Media Group', 'Sony Pictures']",2010,170432927.0,107.0,The Other Guys,6.2,2505.0
38000000.0,"['Action', 'Comedy', 'Family']",256961.0,Paul Blart: Mall Cop 2,15.183,"['Columbia Pictures', 'Happy Madison Productions', 'Hey Eddie', 'LStar Capital', 'Sony Pictures']",2015,107597242.0,94.0,Paul Blart: Mall Cop 2,5.0,998.0
20000000.0,"['Comedy', 'Drama', 'War']",256962.0,Little Boy,10.263,"['Santa Fé Films', 'Metanoia Films']",2015,6485961.0,106.0,Little Boy,7.0,325.0
0.0,"['Comedy', 'Romance']",248774.0,Obvious Child,5.1080000000000005,"['Sundial Pictures', 'Votiv Films', 'Rooks Nest Entertainment']",2014,3123963.0,83.0,Obvious Child,6.7,280.0
5000000.0,['Drama'],27585.0,Rabbit Hole,11.736,"['Olympus Pictures', 'OddLot Entertainment', 'Blossom Films']",2010,5132850.0,91.0,Rabbit Hole,6.8,333.0
30000000.0,"['Drama', 'Mystery', 'Romance', 'Thriller']",11208.0,Wicker Park,8.825,"[""Mel's Cite du Cinema"", 'Lakeshore Entertainment', 'Metro-Goldwyn-Mayer']",2004,13001257.0,114.0,Wicker Park,6.7,325.0
85000000.0,"['Fantasy', 'Family', 'Adventure']",420809.0,Maleficent: Mistress of Evil,44.50899999999999,"['Walt Disney Pictures', 'Roth Films']",2019,491570967.0,118.0,Maleficent: Mistress of Evil,7.2,1966.0
10000000.0,"['Science Fiction', 'Animation', 'Comedy', 'Family']",19405.0,Recess: School's Out,9.511,['Disney Television Animation'],2001,44460850.0,83.0,Recess: School's Out,6.4,172.0
8500000.0,"['Comedy', 'Horror']",11217.0,Club Dread,9.207,"['Coconut Pete Productions', 'Fox Searchlight Pictures', 'Broken Lizard Industries']",2004,5001655.0,104.0,Club Dread,5.1,187.0
183000000.0,"['Adventure', 'Fantasy', 'Romance', 'Comedy', 'Family']",420817.0,Aladdin,46.144,"['Walt Disney Pictures', 'Lin Pictures', 'Rideback', 'Marc Platt Productions']",2019,1047612394.0,128.0,Aladdin,7.0,4933.0
176000003.0,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757.0,Jupiter Ascending,22.513,"['Anarchos Productions', 'Village Roadshow Pictures', 'Dune Entertainment', 'Warner Bros. Pictures']",2015,183987723.0,124.0,Jupiter Ascending,5.3,4798.0
4900000.0,['Drama'],265177.0,Mommy,12.436,"['Téléfilm Canada', 'Metafilms', 'Super Écran', 'SODEC']",2014,3494070.0,138.0,Mommy,8.3,1621.0
0.0,"['Romance', 'Comedy']",166879.0,One Small Hitch,5.961,['Principle Entertainment'],2013,7965.0,100.0,One Small Hitch,6.5,84.0
19000000.0,['Comedy'],11247.0,A Cinderella Story,14.824000000000002,"['Dylan Sellers Productions', 'Gaylord Films', 'Clifford Werber Productions', 'Warner Bros. Pictures']",2004,70067909.0,95.0,A Cinderella Story,6.4,2005.0
0.0,['Documentary'],338928.0,He Named Me Malala,8.883,"['Participant Media', 'Imagenation Abu Dhabi FZ', 'Parkes+MacDonald Image Nation']",2015,2642899.0,87.0,He Named Me Malala,6.6,107.0
12000000.0,['Horror'],11249.0,Seed of Chucky,14.572,['Rogue Pictures'],2004,24829644.0,87.0,Seed of Chucky,5.2,722.0
5000000.0,['Drama'],347126.0,God's Not Dead 2,10.257,['Pure Flix Productions'],2016,23507567.0,121.0,God's Not Dead 2,5.8,218.0
20000000.0,"['Drama', 'History']",535544.0,Downton Abbey,15.069,"['Focus Features', 'Carnival Films & Television', 'Perfect World Pictures']",2019,157829576.0,122.0,Downton Abbey,7.1,420.0
20000000.0,"['Drama', 'Thriller', 'History']",314365.0,Spotlight,17.069000000000006,"['Universal Pictures', 'Participant Media', 'Anonymous Content', 'Rocklin / Faust', 'First Look Media']",2015,88346473.0,129.0,Spotlight,7.8,5496.0
10000000.0,"['Horror', 'Mystery', 'Thriller']",44040.0,Devil,13.206,"['Universal Pictures', 'Media Rights Capital', 'Night Chronicles', 'Relativity Media']",2010,33583175.0,80.0,Devil,5.9,1740.0
200000000.0,"['Adventure', 'Fantasy', 'Family']",338952.0,Fantastic Beasts: The Crimes of Grindelwald,31.789,"['Warner Bros. Pictures', 'Heyday Films']",2018,653355901.0,134.0,Fantastic Beasts: The Crimes of Grindelwald,6.8,6181.0
0.0,"['Animation', 'Family']",175112.0,Tinker Bell and the Pirate Fairy,11.519,['DisneyToon Studios'],2014,20300000.0,78.0,Tinker Bell and the Pirate Fairy,6.7,580.0
100000000.0,"['Action', 'Thriller']",44048.0,Unstoppable,10.717,"['Prospect Park', 'Scott Free Productions', 'Firm Films', 'Millbrook Farm Productions', '20th Century Fox']",2010,167805466.0,98.0,Unstoppable,6.4,2120.0
25000000.0,"['Fantasy', 'Comedy', 'Family']",11283.0,Nanny McPhee,15.623,"['Nanny McPhee Productions', 'Universal Pictures', 'Working Title Films', 'Three Strange Angels', 'Metro-Goldwyn-Mayer', 'StudioCanal']",2005,122489822.0,97.0,Nanny McPhee,6.6,1952.0
94000000.0,"['Action', 'Adventure', 'Fantasy']",338970.0,Tomb Raider,17.658,"['Square Enix', 'GK Films', 'Metro-Goldwyn-Mayer', 'Warner Bros. Pictures']",2018,274650803.0,118.0,Tomb Raider,6.3,5058.0
23000000.0,"['Crime', 'Drama']",470044.0,The Hate U Give,12.181,['Temple Hill Entertainment'],2018,29163535.0,133.0,The Hate U Give,8.3,969.0
31000000.0,"['Drama', 'Mystery']",11313.0,Hearts in Atlantis,9.248,"['Castle Rock Entertainment', 'Village Roadshow Pictures', 'Warner Bros. Pictures']",2001,24185781.0,101.0,Hearts in Atlantis,6.6,254.0
100000000.0,"['Drama', 'History', 'Crime']",3131.0,Gangs of New York,15.423,"['Miramax', 'Initial Entertainment Group (IEG)', 'Alberto Grimaldi Productions']",2002,193772504.0,167.0,Gangs of New York,7.3,4018.0
70000000.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",3132.0,Bad Company,11.183,"['Stillking Films', 'Jerry Bruckheimer Films', 'Touchstone Pictures']",2002,65977295.0,116.0,Bad Company,5.4,422.0
80000000.0,"['Drama', 'Thriller', 'Mystery']",11324.0,Shutter Island,21.17,"['Appian Way', 'Paramount', 'Phoenix Pictures', 'Sikelia Productions']",2010,294804195.0,138.0,Shutter Island,8.1,14509.0
0.0,"['Music', 'Romance', 'Comedy', 'Drama']",207936.0,Tumbledown,8.991,"['Hahnscape', 'Bron Studios', 'Echo Films']",2015,135026.0,105.0,Tumbledown,6.5,103.0
40000000.0,['Comedy'],257091.0,Get Hard,10.862,"['Gary Sanchez Productions', 'Warner Bros. Pictures']",2015,111811453.0,100.0,Get Hard,6.0,1662.0
15000000.0,"['Comedy', 'Horror']",273477.0,Scouts Guide to the Zombie Apocalypse,13.139,"['Paramount', 'Broken Road Productions', 'Brucks Entertainment', 'Oops Doughnuts Productions']",2015,14860766.0,93.0,Scouts Guide to the Zombie Apocalypse,6.2,1015.0
30000000.0,"['Crime', 'Drama']",396371.0,Molly's Game,14.85,"['The Mark Gordon Company', 'Entertainment One', 'STX Entertainment', 'Huayi Brothers Pictures', 'Pascal Pictures']",2017,59284015.0,140.0,Molly's Game,7.1,2029.0
18000000.0,"['Adventure', 'Drama', 'Thriller']",44115.0,127 Hours,13.398,"['Fox Searchlight Pictures', 'Pathé!', 'Everest Entertainment', 'HandMade Films', 'Warner Bros. Pictures', 'Film4 Productions', 'Cloud Eight Films']",2010,35692920.0,94.0,127 Hours,7.0,5002.0
56000000.0,"['Adventure', 'Drama', 'Action', 'Thriller']",11358.0,Walking Tall,12.755,"['Hyde Park Entertainment', 'Mandeville Films', 'Burke/Samples/Foster Productions', 'WWE Studios', 'Cub Eight Productions', 'Metro-Goldwyn-Mayer']",2004,57223890.0,86.0,Walking Tall,6.0,759.0
15000000.0,['Drama'],44129.0,The Company Men,9.21,"['Battle Mountain Films', 'Spring Creek Productions']",2010,4882577.0,104.0,The Company Men,6.6,394.0
35000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",11362.0,The Count of Monte Cristo,13.841,"['Touchstone Pictures', 'Spyglass Entertainment', 'World 2000 Entertainment', 'Count of Monte Cristo Ltd.']",2002,75395048.0,131.0,The Count of Monte Cristo,7.5,906.0
75000000.0,"['Comedy', 'Crime']",3172.0,Bandits,12.616,"['Epsilon Motion Pictures', 'Hyde Park Entertainment', 'Lotus Pictures', 'Baltimore Spring Creek Productions', 'Cheyenne Enterprises', 'Metro-Goldwyn-Mayer']",2001,67631903.0,123.0,Bandits,6.3,561.0
68000000.0,"['Action', 'Crime', 'Thriller', 'Mystery']",11371.0,The Score,10.399,"['Horseshoe Bay Productions', 'Paramount', 'Mandalay Pictures']",2001,113579918.0,124.0,The Score,6.7,867.0
100000000.0,"['Drama', 'Western']",68718.0,Django Unchained,28.042,"['The Weinstein Company', 'Columbia Pictures']",2012,425368238.0,165.0,Django Unchained,8.1,17534.0
75000000.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",11375.0,Hollywood Homicide,11.513,"['Revolution Studios', 'Columbia Pictures']",2003,51142659.0,116.0,Hollywood Homicide,5.2,338.0
200000000.0,"['Action', 'Adventure', 'Science Fiction']",68721.0,Iron Man 3,21.631,"['Marvel Studios', 'Paramount']",2013,1215439994.0,131.0,Iron Man 3,6.9,15549.0
32000000.0,['Drama'],68722.0,The Master,12.997,"['Annapurna Pictures', 'The Weinstein Company', 'Ghoulardi Film Company']",2012,28258060.0,137.0,The Master,7.2,1606.0
115000000.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']",68724.0,Elysium,19.389,"['Genre Films', 'TriStar Pictures', 'Media Rights Capital', 'QED International', 'Alpha Core', 'Simon Kinberg Productions', 'Sony Pictures']",2013,286140700.0,109.0,Elysium,6.4,5917.0
10000000.0,"['Action', 'Horror', 'Thriller']",11380.0,Bones,5.393,['New Line Cinema'],2001,7316658.0,96.0,Bones,4.5,75.0
20000000.0,"['Thriller', 'Crime', 'Drama', 'Mystery']",68727.0,Trance,11.259,"['Pathé!', 'Decibel Films', 'Film4 Productions', 'Cloud Eight Films']",2013,24261569.0,101.0,Trance,6.6,1463.0
200000000.0,"['Fantasy', 'Adventure', 'Family']",68728.0,Oz the Great and Powerful,14.818,"['Roth Films', 'Walt Disney Pictures']",2013,491868548.0,130.0,Oz the Great and Powerful,5.8,5118.0
46000000.0,"['Drama', 'History']",68730.0,Silence,16.399,"['Waypoint Entertainment', 'Cappa Defina Productions', 'CatchPlay', 'Emmett Furla Oasis Films', 'Fábrica de Cine', 'SharpSword Films', 'Sikelia Productions']",2016,23737523.0,161.0,Silence,7.1,1851.0
44500000.0,"['Drama', 'Thriller']",68734.0,Argo,15.833,"['GK Films', 'Warner Bros. Pictures', 'Smoke House Pictures']",2012,232324128.0,120.0,Argo,7.2,5618.0
95000000.0,"['Adventure', 'Fantasy']",68737.0,Seventh Son,23.673,"['China Film Co.', 'Legendary Entertainment', 'Thunder Road', 'Outlaw Sinema', 'Moving Picture Company', 'Pendle Mountain Productions', 'Beijing Skywheel Entertainment Co.']",2014,114178613.0,102.0,Seventh Son,5.3,1699.0
150000000.0,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",19585.0,G-Force,15.132,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Whamaphram Productions']",2009,292817841.0,88.0,G-Force,5.2,1071.0
37000000.0,"['Mystery', 'Comedy', 'Crime']",445571.0,Game Night,14.827,"['New Line Cinema', 'Aggregate Films', 'Davis Entertainment', 'Access Entertainment', 'Access Industries', 'Dune Entertainment']",2018,117501013.0,100.0,Game Night,6.9,3321.0
190000000.0,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",158852.0,Tomorrowland,28.117,"['Babieka', 'Walt Disney Pictures', 'A113']",2015,209154322.0,130.0,Tomorrowland,6.2,5019.0
15000000.0,"['Horror', 'Mystery', 'Thriller']",396422.0,Annabelle: Creation,16.383,"['Atomic Monster', 'New Line Cinema', 'The Safran Company', 'Warner Bros. Pictures']",2017,305092201.0,109.0,Annabelle: Creation,6.5,3612.0
40000000.0,"['Crime', 'Action', 'Adventure']",11398.0,The Art of War,6.305,"['Amen Ra Films', 'Franchise Pictures', 'Morgan Creek Productions', 'Warner Bros. Pictures']",2000,30199105.0,117.0,The Art of War,5.7,267.0
30000000.0,"['Drama', 'History', 'Romance']",11400.0,The New World,11.798,"['The Virginia Company LLC', 'New Line Cinema', 'Sunflower Productions', 'Sarah Green Film', 'First Foot Films']",2005,30536013.0,135.0,The New World,6.5,645.0
0.0,"['Crime', 'Drama', 'Thriller']",429200.0,Good Time,15.424,"['Elara Pictures', 'Rhea Films']",2017,2026499.0,101.0,Good Time,7.1,1088.0
0.0,"['Drama', 'Music']",429202.0,Vox Lux,12.289,"['Sierra / Affinity', 'Bold Films', 'Andrew Lauren Productions (ALP)', 'Killer Films', 'Three Six Zero']",2018,1330828.0,114.0,Vox Lux,5.9,201.0
250000.0,"['Thriller', 'Drama']",109729.0,The Canyons,9.967,"['Filmworks/FX', 'Prettybird', 'Post Empire Films', 'Sodium Fox']",2013,56825.0,99.0,The Canyons,4.5,149.0
95000000.0,"['Romance', 'Fantasy', 'Family', 'Drama']",150689.0,Cinderella,29.026,"['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2015,543514353.0,105.0,Cinderella,6.7,5040.0
0.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction', 'Thriller']",339116.0,Maximum Ride,8.136000000000001,"['JP Entertainment', 'Studio71', 'G2']",2016,4218.0,88.0,Maximum Ride,4.8,173.0
12000000.0,"['Drama', 'Thriller']",60599.0,Arbitrage,11.848,"['Lucky Monkey Pictures', 'Lionsgate', 'Green Room Films', 'Treehouse Pictures', 'Parlay Films', 'LB Productions', 'Artina Films', 'Alvernia Studios']",2012,35485056.0,100.0,Arbitrage,6.3,502.0
35000000.0,['Comedy'],257211.0,The Intern,13.546,['Waverly Films'],2015,194564672.0,121.0,The Intern,7.1,3875.0
