,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
4205,0.0,['Documentary'],674886.0,tt10196440,en,Finding Yingying,9.194,[],"['CN', 'US']",2020-03-13,0.0,97.0,[],In Production,Finding Yingying,0.0,0.0
4252,0.0,"['Romance', 'Drama']",568467.0,tt7983894,en,Ammonite,6.687,"['BBC Films', 'British Film Institute', 'See-Saw Films']",['GB'],2020-09-15,0.0,98.0,['en'],Post Production,Ammonite,0.0,0.0
4450,0.0,[],323144.0,tt1595654,en,Anita,14.42,"['HBO', 'Darren Star Productions']",['US'],2020-12-31,0.0,98.0,[],In Production,Anita,0.0,0.0
4479,0.0,"['Action', 'Science Fiction', 'Fantasy', 'Adventure']",298618.0,tt0439572,en,The Flash,9.268,"['DC Comics', 'DC Entertainment', 'Warner Bros. Pictures', 'DC Films', 'The Stone Quarry']",['US'],2022-06-22,0.0,98.0,['en'],Planned,The Flash,0.0,0.0
4505,10000.0,['Music'],659125.0,tt11049532,en,Love and Run,9.566,[],['US'],2020-09-20,0.0,98.0,['en'],Post Production,Love and Run,0.0,0.0
4524,0.0,"['Animation', 'Action', 'Science Fiction', 'Adventure', 'Comedy']",569094.0,tt9362722,en,Spider-Man: Into the Spider-Verse Sequel,5.35,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Lord Miller', 'Sony Pictures', 'Pascal Pictures']",['US'],2022-04-07,0.0,98.0,['en'],Planned,Spider-Man: Into the Spider-Verse Sequel,0.0,0.0
4526,0.0,['Animation'],675594.0,tt11767524,en,Carmen Sandiego: To Steal or Not to Steal,8.379,[],[],2020-03-10,0.0,31.0,['en'],In Production,Carmen Sandiego: To Steal or Not to Steal,0.0,0.0
4527,0.0,['Comedy'],675595.0,tt11810418,en,Marc Maron: End Times Fun,10.511,[],['US'],2020-03-10,0.0,71.0,['en'],In Production,Marc Maron: End Times Fun,0.0,0.0
4533,0.0,"['Action', 'Adventure', 'Science Fiction']",634649.0,tt10872600,en,Untitled Spider-Man 3,14.311,"['Sony Pictures', 'Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",['US'],2021-07-15,0.0,98.0,['en'],Planned,Untitled Spider-Man 3,0.0,0.0
4588,0.0,"['Family', 'Animation', 'Action', 'Adventure', 'Comedy']",438148.0,tt5113044,en,Minions: The Rise of Gru,10.156,"['Universal Pictures', 'Illumination Entertainment']",['US'],2020-06-11,0.0,98.0,['en'],In Production,Minions: The Rise of Gru,0.0,0.0
4625,0.0,['Horror'],610253.0,tt10665338,en,Halloween Kills,6.537000000000001,"['Universal Pictures', 'Blumhouse Productions']",[],2020-10-15,0.0,98.0,['en'],In Production,Halloween Kills,0.0,0.0
4717,0.0,"['Action', 'Science Fiction', 'Horror']",340102.0,tt4682266,en,The New Mutants,11.542,"['Marvel Entertainment', '20th Century Studios']",['US'],2020-04-01,0.0,98.0,"['en', 'es']",Post Production,The New Mutants,0.0,0.0
4853,205000000.0,['Action'],577922.0,tt6723592,en,Tenet,6.863,"['Syncopy', 'Warner Bros. Pictures']","['CA', 'NO', 'GB', 'US']",2020-07-15,0.0,98.0,['en'],Post Production,Tenet,0.0,0.0
4883,0.0,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure', 'Music']",446893.0,tt6587640,en,Trolls World Tour,13.561,"['DreamWorks Animation', 'Universal Pictures']",['US'],2020-03-12,0.0,98.0,['en'],In Production,Trolls World Tour,0.0,0.0
4949,0.0,"['Drama', 'Science Fiction', 'Thriller']",520763.0,tt8332922,en,A Quiet Place Part II,24.051,"['Platinum Dunes', 'Sunday Night', 'Paramount']",['US'],2020-03-18,0.0,98.0,['en'],Post Production,A Quiet Place Part II,0.0,0.0
4961,0.0,['Horror'],627290.0,tt10065694,en,Antebellum,7.931,"['Lionsgate', 'QC Entertainment']",['US'],2020-04-22,0.0,98.0,['en'],Post Production,Antebellum,0.0,0.0
5086,0.0,"['Animation', 'Adventure', 'Family']",529203.0,tt2850386,en,The Croods 2,6.409,['Universal Pictures'],['US'],2020-12-02,0.0,98.0,['en'],In Production,The Croods 2,0.0,0.0
