,Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
136,The Whistlers,Magnolia Pictures,"$20,4583",,"['Feb 28, 2020']",1 hr 37 min,"['Comedy', 'Crime']",3 theaters
137,Premature,IFC Films,"$9,9094",,"['Feb 21, 2020']",1 hr 30 min,"['Drama', 'Music', 'Romance']",29 theaters
138,Lore,Indican Pictures,"$7,0847",,"['Jan 17, 2020', 'Feb 13, 2020']",1 hr 49 min,['Thriller'],7 theaters
139,Recorder: The Marion Stokes Project,Zeitgeist Films,"$8,2161",,"['Nov 15, 2019']",1 hr 27 min,['Documentary'],5 theaters
140,Pandora and the Flying Dutchman,Cohen Media Group,"$5,4661",,"['Feb 7, 2020']",2 hr 2 min,"['Drama', 'Fantasy', 'Mystery', 'Romance']",2 theaters
141,Born to Be Wild,Warner Bros.,"$871,478206",,"['Apr 8, 2011']",40 min,"['Adventure', 'Documentary', 'Short']",208 theaters
142,Advocate,Film Movement,"$8,1862",,"['Jan 3, 2020']",1 hr 54 min,['Documentary'],2 theaters
143,Downtown 81,Metrograph Pictures,"$25,2081",,"['Oct 25, 2019']",1 hr 12 min,"['Comedy', 'Drama', 'Musical']",8 theaters
144,Saint Frances,Oscilloscope,"$14,2981",,"['Feb 28, 2020']",1 hr 46 min,"['Comedy', 'Drama']",1 theater
145,The Cave,National Geographic Entertainment,"$21,1852",,"['Oct 18, 2019']",1 hr 47 min,"['Documentary', 'War']",10 theaters
146,The Kingmaker,Greenwich Entertainment,"$19,5232",,"['Nov 8, 2019']",1 hr 41 min,['Documentary'],18 theaters
147,Linda Ronstadt: The Sound of My Voice,Greenwich Entertainment,"$113,2357",,"['Sep 6, 2019']",1 hr 35 min,"['Biography', 'Documentary', 'Music']",247 theaters
148,Redoubt,Grasshopper Film,"$5,2531",,"['Nov 1, 2019']",2 hr 14 min,['Drama'],3 theaters
149,"I Was at Home, But",The Cinema Guild,"$6,1151",,"['Feb 14, 2020']",1 hr 45 min,['Drama'],1 theater
150,You Go to My Head,First Run,"$5,8641",,"['Feb 14, 2020']",1 hr 56 min,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",2 theaters
151,Playmobil: The Movie,STX Entertainment,"$656,5302,337",,"['Dec 6, 2019', 'Jan 9, 2020']",1 hr 39 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","2,337 theaters"
152,A Beautiful Planet,IMAX,"$223,983137",,"['Apr 29, 2016']",46 min,['Documentary'],155 theaters
153,Foosballers,Kicking + Screening Media Group,,,"['Feb 11, 2020']",1 hr 36 min,"['Comedy', 'Documentary', 'Sport', 'Western']",9 theaters
154,The Perfect Race,Five & Two Pictures,"$3,4001",,"['Oct 14, 2019']",,['Drama'],2 theaters
155,The Wave,Epic Pictures,,,"['Jan 17, 2020']",1 hr 30 min,"['Sci-Fi', 'Thriller']",13 theaters
156,Black and Blue,Screen Gems,"$8,376,8462,062","$12,000,000","['Oct 25, 2019', 'Jan 2, 2020']",1 hr 48 min,"['Action', 'Crime', 'Drama', 'Thriller']","2,062 theaters"
157,Young Ahmed,Kino Lorber,"$4,2162",,"['Feb 21, 2020']",1 hr 30 min,['Drama'],2 theaters
158,American Dharma,Utopia,"$7,2871",,"['Nov 1, 2019']",1 hr 35 min,"['Biography', 'Documentary']",11 theaters
159,Under the Sea 3D,Warner Bros.,"$661,18549",,"['Feb 13, 2009']",45 min,"['Documentary', 'Short']",108 theaters
160,Lost in America,Indican Pictures,"$6,7982",,"['Feb 28, 2020']",1 hr 45 min,['Documentary'],2 theaters
161,Afterward,Abramorama,"$6,4771",,"['Jan 10, 2020']",1 hr 35 min,['Documentary'],1 theater
162,Kind Hearts and Coronets,Rialto Pictures,"$8,0041",,"['Nov 27, 2019']",1 hr 46 min,"['Comedy', 'Crime']",3 theaters
163,Hubble 3D,Warner Bros.,"$413,47739",,"['Mar 19, 2010']",45 min,['Documentary'],151 theaters
164,By the Grace of God,Music Box Films,"$7,7652",,"['Oct 18, 2019']",2 hr 17 min,"['Crime', 'Drama']",11 theaters
