Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
The Wandering Earth,CMC Pictures,168528764,0,Feb,2 hr 5 min,Action,129
Bright Ones,Fathom Events,165627614,0,Apr,1 hr 22 min,Musical,614
Freaks,Well Go USA Entertainment,161543111,0,Sep,1 hr 45 min,Drama,111
Batman,Fathom Events,159419489,35000000,May,2 hr 6 min,Action,489
True Grit,Fathom Events,157788614,0,May,2 hr 8 min,Adventure,614
When Harry Met Sally...,Fathom Events,157660660,0,Dec,1 hr 35 min,Comedy,660
The Climbers,Well Go USA Entertainment,156096102,0,Sep,2 hr 5 min,Action,102
Killerman,Blue Fox Entertainment,153799322,0,Aug,1 hr 52 min,Action,322
The Whistleblower,CMC Pictures Holdings,150481133,0,Dec,2 hr 14 min,Action,133
Metallica & San Francisco Symphony - S&M2,Trafalgar Releasing,144736157,0,Oct,2 hr 30 min,Music,655
Romeo Akbar Walter,Eros International,142102101,0,Apr,2 hr 21 min,Action,101
Canelo vs. Kovalev,Fathom Events,140820471,0,Nov,No running time,Genres,471
The Karate Kid,Fathom Events,140623588,0,Mar,2 hr 6 min,Action,588
Wilder vs. Ortiz,Fathom Events,139207186,0,Nov,4 hr 30 min,Sport,186
Mob Psycho 100,Fathom Events,115766375,0,Jan,No running time,Sci-Fi,375
Forrest Gump,Fathom Events,114767560,55000000,Jun,2 hr 22 min,Drama,560
The Warrior Queen of Jhansi,Roadside Attractions,112208276,0,Nov,1 hr 42 min,Action,277
Shakira in Concert: El Dorado World Tour,Trafalgar Releasing,111273398,0,Nov,2 hr 2 min,Documentary,500
I Want to Eat Your Pancreas,Fathom Events,111108397,0,Feb,1 hr 49 min,Animation,427
American Woman,Roadside Attractions,110552117,0,Jun,1 hr 51 min,Drama,117
The Bravest,Sony Pictures Releasing,110375150,0,Aug,1 hr 58 min,Action,150
Ne Zha,Well Go USA Entertainment,101575566,0,Aug,1 hr 50 min,Action,135
Better Days,Well Go USA Entertainment,98953670,0,Nov,2 hr 15 min,Crime,88
India's Most Wanted,FIP,98322110,0,May,2 hr 3 min,Action,110
Ask Dr. Ruth,Magnolia Pictures,93128104,0,May,1 hr 40 min,Biography,110
"My People, My Country",CMC Pictures,87600167,0,Oct,2 hr 34 min,Drama,83
Skid Row Marathon,Fathom Events,84997438,0,Oct,1 hr 25 min,Documentary,438
Glory,Fathom Events,83347435,0,Jul,2 hr 2 min,Biography,435
The Zoya Factor,FIP,79517100,0,Sep,2 hr 14 min,Comedy,100
Trial by Fire,Roadside Attractions,78817109,0,May,2 hr 7 min,Biography,109
Easy Rider,Fathom Events,74448252,360000,Jul,1 hr 35 min,Adventure,252
Ip Man 4: The Finale,Well Go USA Entertainment,73771870,0,Dec,1 hr 47 min,Action,125
Deep Sea,Warner Bros.,70021343,0,Mar,41 min,Documentary,47
On the Basis of Sex,Focus Features,68635533,0,No,2 hr,Biography,1957
Under the Sea 3D,Warner Bros.,66118549,0,Feb,45 min,Documentary,108
Menteur,Entertainment One,60722989,0,Jul,1 hr 51 min,Comedy,89
Nothing to Lose 2,Swen Releasing,60693497,0,Sep,1 hr 36 min,Biography,105
Badla,Reliance Big Pictures,59644650,0,Mar,1 hr 58 min,Crime,115
1917,Universal Pictures,57621611,0,No,1 hr 59 min,Drama,3987
High Strung Free Dance,Atlas Distribution Company,54601106,0,Oct,1 hr 43 min,Music,106
Plácido Domingo Gala,Fathom Events,52502217,0,Sep,2 hr,Genres,217
The Hate U Give,Twentieth Century Fox,51203536,23000000,No,2 hr 13 min,Crime,2375
Space Station 3D,IMAX,48948824,0,Apr,47 min,Documentary,64
ECCO,Citadel Film Group,48205155,0,Aug,2 hr 3 min,Crime,155
The Star,Sony Pictures Releasing,43510623,20000000,Dec,1 hr 26 min,Adventure,623
Hubble 3D,Warner Bros.,41347739,0,Mar,45 min,Documentary,151
5B,Verizon Media/RYOT,38314128,0,Jun,1 hr 34 min,Documentary,128
Batman Forever,Fathom Events,38014434,100000000,May,2 hr 1 min,Action,434
Los Domirriqueños 2,Spanglish Movies,34184753,0,Mar,1 hr 47 min,Comedy,82
The Fall of the American Empire,Entertainment One,33821672,0,Jun,2 hr 7 min,Comedy,73
The Captain,Well Go USA Entertainment,32476947,0,Oct,1 hr 51 min,Drama,47
Green Book,Universal Pictures,32042925,23000000,No,2 hr 10 min,Biography,2648
Qué León,Spanglish Movies,29193634,0,Nov,1 hr 33 min,Comedy,86
El Norte,Fathom Events,27920179,0,Sep,2 hr 21 min,Drama,179
Racetime,Entertainment One,27106186,0,Dec,1 hr 29 min,Adventure,86
To the Arctic 3D,Warner Bros.,27022850,0,Apr,40 min,Documentary,52
The White Storm 2: Drug Lords,CMC Pictures,24479554,0,Jul,1 hr 39 min,Action,54
Merci pour tout,eOne Entertainment,23190857,0,Dec,1 hr 39 min,Comedy,76
Batla House,Viva Pictures Distribution,21264581,0,Aug,2 hr 26 min,Action,81
The Peanut Butter Falcon,Roadside Attractions,20479317,0,No,1 hr 37 min,Adventure,1490
Asterix: The Secret of the Magic Potion,Entertainment One,19304051,0,Feb,1 hr 27 min,Adventure,76
Island of Lemurs: Madagascar,Warner Bros.,18830737,0,Apr,39 min,Adventure,302
More Than Blue,China Lion Film Distribution,18592826,0,Mar,1 hr 45 min,Romance,40
Pandas,Warner Bros.,15891533,0,Apr,42 min,Documentary,35
The Russian Five,Lucky Hat Entertainment,15673236,0,Mar,1 hr 42 min,Documentary,44
Furie,Well Go USA Entertainment,15612014,0,Mar,1 hr 38 min,Action,27
I Got the Hook Up 2,Urban Movie Channel,14903637,0,Jul,1 hr 47 min,Comedy,40
Pavarotti,CBS Films,14403219,0,Jun,1 hr 54 min,Biography,288
Promare,GKIDS,10908554,0,Sep,1 hr 51 min,Action,701
Canal Street,Smith Global Media,10825973,0,Jan,1 hr 29 min,Drama,73
P Storm,CMC Pictures,10407130,0,Apr,1 hr 36 min,Action,30
Marjaavaan,Eros International,10176165,0,Nov,2 hr 32 min,Action,65
Line Walker 2: Invisible Spy,Well Go USA Entertainment,9699117,0,Aug,1 hr 38 min,Action,17
