Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
The Turning,Universal Pictures,69500452571,14000000,"['Jan 24, 2020']",1 hr 34 min,"['Drama', 'Horror', 'Mystery']",2571 theaters
Gretel & Hansel,United Artists Releasing,61540073007,0,"['Jan 31, 2020']",1 hr 27 min,"['Fantasy', 'Horror', 'Thriller']",3007 theaters
Bombshell,Lionsgate,3191574,0,No relase date,1 hr 49 min,"['Biography', 'Drama']",1721 theaters
Jojo Rabbit,Fox Searchlight Pictures,3495555,0,No relase date,1 hr 48 min,"['Comedy', 'Drama', 'War']",1173 theaters
Ford v Ferrari,Twentieth Century Fox,314749583528,97600000,"['Nov 15, 2019']",2 hr 32 min,"['Action', 'Biography', 'Drama', 'Sport']",3746 theaters
My Hero Academia: Heroes Rising,FUNimation Entertainment,58883301260,0,"['Feb 26, 2020']",1 hr 44 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",1275 theaters
Brahms: The Boy II,STX Entertainment,58230062151,10000000,"['Feb 21, 2020']",1 hr 26 min,"['Drama', 'Horror', 'Mystery', 'Thriller']",2151 theaters
Downhill,Fox Searchlight Pictures,46220182301,0,"['Feb 14, 2020']",1 hr 26 min,"['Comedy', 'Drama']",2311 theaters
Weathering with You,GKIDS,1808533486,0,"['Jan 15, 2020']",1 hr 52 min,"['Animation', 'Drama', 'Fantasy', 'Romance']",1020 theaters
Impractical Jokers: The Movie,truTV,2607049357,0,No relase date,1 hr 32 min,['Comedy'],1900 theaters
Cats,Universal Pictures,66198703380,95000000,"['Dec 20, 2019', 'Feb 13, 2020']",1 hr 50 min,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",3380 theaters
The Rhythm Section,Paramount Pictures,27153843049,0,"['Jan 31, 2020', 'Feb 20, 2020']",1 hr 49 min,"['Action', 'Drama', 'Mystery', 'Thriller']",3049 theaters
A Beautiful Day in the Neighborhood,Sony Pictures Releasing,132512383235,25000000,"['Nov 22, 2019']",1 hr 49 min,"['Biography', 'Drama']",3491 theaters
Richard Jewell,Warner Bros.,47052652502,0,"['Dec 13, 2019', 'Feb 6, 2020']",2 hr 11 min,"['Biography', 'Crime', 'Drama']",2502 theaters
2020 Oscar Nominated Short Films,Magnolia Pictures,1155505465,0,"['Jan 31, 2020']",2 hr 33 min,No genres,536 theaters
Queen & Slim,Universal Pictures,118904901690,0,"['Nov 27, 2019', 'Jan 30, 2020']",2 hr 12 min,"['Crime', 'Drama', 'Romance']",1715 theaters
The Last Full Measure,Roadside Attractions,1058019614,0,"['Jan 24, 2020']",1 hr 56 min,"['Drama', 'War']",617 theaters
Las Pildoras De Mi Novio,Pantelion Films,1396140350,0,"['Feb 21, 2020']",1 hr 40 min,['Comedy'],350 theaters
Portrait of a Lady on Fire,Neon,673442,0,"['Dec 6, 2019']",2 hr 2 min,"['Drama', 'Romance']",268 theaters
Ip Man 4: The Finale,Well Go USA Entertainment,73771870,0,"['Dec 25, 2019']",1 hr 47 min,"['Action', 'Biography', 'Drama', 'History']",125 theaters
Emma.,Focus Features,2344825,0,No relase date,2 hr 4 min,"['Comedy', 'Drama']",97 theaters
Joker,Warner Bros.,962023374374,55000000,"['Oct 4, 2019']",2 hr 2 min,"['Crime', 'Drama', 'Thriller']",4374 theaters
The Lodge,Neon,762516,0,"['Feb 7, 2020']",1 hr 48 min,"['Drama', 'Horror', 'Thriller']",395 theaters
Once Upon a Time... in Hollywood,Sony Pictures Releasing,410820183659,90000000,"['Jul 26, 2019', 'Feb 20, 2020']",2 hr 41 min,"['Comedy', 'Drama']",3659 theaters
The Assistant,Bleecker Street Media,791414,0,"['Jan 31, 2020']",1 hr 27 min,['Drama'],155 theaters
The Song of Names,Sony Pictures Classics,3945210,0,"['Dec 25, 2019']",1 hr 53 min,['Drama'],182 theaters
Jay and Silent Bob Reboot,Saban Films,935201,0,"['Oct 15, 2019']",1 hr 45 min,['Comedy'],788 theaters
A Hidden Life,Fox Searchlight Pictures,503835,0,"['Dec 13, 2019', 'Feb 6, 2020']",2 hr 54 min,"['Biography', 'Drama', 'Romance', 'War']",151 theaters
Sarileru Neekevvaru,Great India Films,821000300,0,"['Jan 10, 2020']",2 hr 49 min,"['Action', 'Comedy', 'Drama']",300 theaters
21 Bridges,STX Entertainment,92612682665,33000000,"['Nov 22, 2019', 'Jan 23, 2020']",1 hr 39 min,"['Action', 'Crime', 'Drama', 'Thriller']",2665 theaters
Patterns of Evidence: The Red Sea Miracle,Fathom Events,0,0,"['Feb 18, 2020']",2 hr 30 min,['Documentary'],807 theaters
Pain and Glory,Sony Pictures Classics,1526364,0,"['Oct 4, 2019']",1 hr 53 min,['Drama'],266 theaters
Merci pour tout,eOne Entertainment,23190857,0,"['Dec 25, 2019']",1 hr 39 min,['Comedy'],76 theaters
Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,369487133790,0,"['Oct 18, 2019', 'Feb 13, 2020']",1 hr 59 min,"['Adventure', 'Family', 'Fantasy']",3820 theaters
Chhapaak,FIP,316781100,0,"['Jan 10, 2020', 'Jan 30, 2020']",2 hr,"['Biography', 'Drama']",100 theaters
Mafia Inc,Entertainment One,26493985,0,"['Feb 14, 2020']",2 hr 15 min,"['Crime', 'Drama']",85 theaters
Panga,FIP,285689102,0,"['Jan 24, 2020', 'Feb 13, 2020']",2 hr 11 min,"['Drama', 'Sport']",102 theaters
Midway,Lionsgate,178974193242,100000000,"['Nov 8, 2019', 'Jan 23, 2020']",2 hr 18 min,"['Action', 'Drama', 'History', 'War']",3242 theaters
Black Christmas,Universal Pictures,42402452625,5000000,"['Dec 13, 2019']",1 hr 32 min,"['Horror', 'Mystery', 'Thriller']",2625 theaters
Color Out of Space,RLJE Films,21616281,0,"['Jan 24, 2020']",1 hr 51 min,"['Horror', 'Sci-Fi']",81 theaters
Harriet,Focus Features,116767202059,17000000,"['Nov 1, 2019', 'Jan 23, 2020']",2 hr 5 min,"['Action', 'Biography', 'Drama', 'History']",2186 theaters
The Addams Family,United Artists Releasing,303000074007,0,"['Oct 11, 2019']",1 hr 26 min,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",4107 theaters
Dark Waters,Focus Features,1026064,0,No relase date,2 hr 6 min,"['Biography', 'Drama', 'History', 'Thriller']",2112 theaters
Fantastic Fungi,Area 23a,94191,0,"['Sep 20, 2019']",1 hr 21 min,['Documentary'],37 theaters
Ride Your Wave,Fathom Events,1964312,0,"['Feb 19, 2020']",1 hr 34 min,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",605 theaters
Les Misérables,Amazon Studios,241544,0,"['Jan 10, 2020']",1 hr 44 min,"['Crime', 'Drama', 'Thriller']",69 theaters
Clemency,Neon,354442,0,"['Dec 27, 2019']",1 hr 52 min,['Drama'],127 theaters
Playing with Fire,Paramount Pictures,127237813125,29900000,"['Nov 8, 2019']",1 hr 36 min,"['Comedy', 'Family']",3185 theaters
Judy,Roadside Attractions,2916548461,0,No relase date,1 hr 58 min,"['Biography', 'Drama', 'Romance']",1627 theaters
Mystify: Michael Hutchence,Fathom Events,0,0,"['Jan 7, 2020']",1 hr 42 min,"['Biography', 'Documentary', 'Music']",597 theaters
Created Equal: Clarence Thomas in His Own Words,Manifold Productions Inc.,7457723,0,"['Jan 31, 2020']",1 hr 56 min,['Documentary'],53 theaters
An American in Paris,Fathom Events,182606651,0,"['Jan 19, 2020']",1 hr 54 min,"['Drama', 'Musical', 'Romance']",651 theaters
The Traitor,Sony Pictures Classics,232403,0,"['Jan 31, 2020']",2 hr 25 min,"['Biography', 'Crime', 'Drama']",45 theaters
Seberg,Amazon Studios,471803,0,"['Feb 21, 2020']",1 hr 42 min,"['Biography', 'Drama', 'Thriller']",373 theaters
Blind Eyes Opened,Fathom Events,0,0,"['Jan 23, 2020']",1 hr 55 min,['Drama'],534 theaters
Doctor Who Live Q&A And Screening,Fathom Events,228615692,0,"['Jan 5, 2020']",2 hr 46 min,No genres,692 theaters
63 Up,BritBox,139561,0,"['Nov 27, 2019']",3 hr,['Documentary'],28 theaters
Once Were Brothers: Robbie Robertson and the Band,Magnolia Pictures,378284,0,"['Feb 21, 2020']",1 hr 40 min,"['Biography', 'Documentary', 'History', 'Music']",149 theaters
CatVideoFest 2020,Oscilloscope,21792730,0,"['Feb 21, 2020']",1 hr 15 min,['Documentary'],77 theaters
Ashfall,Capelight Pictures,362012,0,"['Dec 19, 2019']",2 hr 10 min,"['Action', 'Drama']",18 theaters
National Theater Live: Cyrano de Bergerac,Fathom Events,0,0,"['Feb 20, 2020']",2 hr 40 min,['Drama'],472 theaters
Ordinary Love,Bleecker Street Media,235643,0,"['Feb 14, 2020']",1 hr 32 min,"['Drama', 'Romance']",70 theaters
Zombieland: Double Tap,Sony Pictures Releasing,268031043468,42000000,"['Oct 18, 2019', 'Jan 23, 2020']",1 hr 39 min,"['Action', 'Comedy', 'Horror']",3468 theaters
The Doors: Break On Thru - A Celebration Of Ray Manzarek,Trafalgar Releasing,431215,0,"['Feb 12, 2020']",1 hr 7 min,['Documentary'],330 theaters
Cunningham,Magnolia Pictures,184224,0,"['Dec 13, 2019']",1 hr 33 min,"['Biography', 'Documentary', 'Music']",23 theaters
The Good Liar,Warner Bros.,56050512439,10000000,"['Nov 15, 2019', 'Jan 16, 2020']",1 hr 49 min,"['Crime', 'Drama', 'Mystery', 'Thriller']",2454 theaters
Love Story,Fathom Events,87198650,0,"['Feb 9, 2020']",1 hr 40 min,"['Drama', 'Romance']",650 theaters
Beanpole,Kino Lorber,100081,0,"['Jan 29, 2020']",2 hr 10 min,"['Drama', 'War']",34 theaters
No Safe Spaces,Atlas Distribution Company,452361,0,"['Oct 25, 2019', 'Nov 10, 2019']",1 hr 40 min,['Documentary'],200 theaters
And Then We Danced,Music Box Films,138802,0,"['Feb 7, 2020']",1 hr 53 min,"['Drama', 'Romance']",20 theaters
Incitement,Greenwich Entertainment,224372,0,"['Jan 31, 2020']",2 hr 3 min,['Thriller'],21 theaters
Invisible Life,Amazon Studios,81272,0,"['Dec 20, 2019']",2 hr 19 min,['Drama'],18 theaters
The Man Standing Next,Capelight Pictures,165142,0,"['Jan 24, 2020']",1 hr 54 min,"['History', 'Thriller']",22 theaters
Citizen K,Greenwich Entertainment,105711,0,"['Nov 22, 2019']",2 hr 6 min,['Documentary'],15 theaters
The Times of Bill Cunningham,Greenwich Entertainment,419452,0,"['Feb 14, 2020']",1 hr 14 min,['Documentary'],10 theaters
Come to Daddy,Saban Films,5799829,0,"['Feb 7, 2020']",1 hr 36 min,"['Comedy', 'Thriller']",29 theaters
The Lighthouse,A24,4277978,0,No relase date,1 hr 49 min,"['Drama', 'Fantasy', 'Horror', 'Mystery']",978 theaters
First Lady,ArtAffects Entertainment,5674768,0,"['Feb 14, 2020']",1 hr 41 min,"['Comedy', 'Romance']",68 theaters
Honeyland,Neon,313812,0,"['Jul 26, 2019']",1 hr 29 min,"['Documentary', 'Drama']",56 theaters
The Woman Who Loves Giraffes,Zeitgeist Films,18102,0,"['Oct 4, 2019']",2 hr 3 min,['Documentary'],22 theaters
Honey Boy,Amazon Studios,3010654,0,"['Nov 8, 2019']",1 hr 34 min,['Drama'],460 theaters
Waves,A24,1343334,0,"['Nov 15, 2019']",2 hr 15 min,"['Drama', 'Romance', 'Sport']",570 theaters
Varda by Agnès,Janus Films,123902,0,"['Nov 22, 2019']",1 hr 55 min,"['Biography', 'Documentary']",10 theaters
A Simple Wedding,Blue Fox Entertainment,2179410,0,"['Feb 14, 2020']",1 hr 28 min,"['Comedy', 'Romance']",10 theaters
Corpus Christi,Film Movement,46321,0,"['Feb 14, 2020']",1 hr 55 min,['Drama'],13 theaters
The Wonderland,Eleven Arts,13201,0,"['Jan 20, 2020']",1 hr 56 min,"['Adventure', 'Animation', 'Family', 'Fantasy']",143 theaters
VHYes,Oscilloscope,0,0,"['Jan 17, 2020']",1 hr 12 min,['Comedy'],23 theaters
Charlie's Angels,Sony Pictures Releasing,83511093452,48000000,"['Nov 15, 2019']",1 hr 58 min,"['Action', 'Adventure', 'Comedy']",3452 theaters
Enter the Fat Dragon,Well Go USA Entertainment,2219311,0,"['Feb 14, 2020']",1 hr 36 min,"['Action', 'Comedy']",11 theaters
Doctor Sleep,Warner Bros.,141141243855,0,"['Nov 8, 2019', 'Jan 9, 2020']",2 hr 32 min,"['Drama', 'Fantasy', 'Horror', 'Thriller']",3855 theaters
The White Sheik,Rialto Pictures,55621,0,"['Dec 25, 2019']",1 hr 26 min,"['Comedy', 'Drama']",3 theaters
Come and See,Janus Films,160532,0,"['Feb 21, 2020']",2 hr 22 min,"['Drama', 'War']",2 theaters
Abominable,Universal Pictures,206121004242,75000000,"['Sep 27, 2019', 'Jan 2, 2020']",1 hr 37 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",4248 theaters
Three Christs,IFC Films,0,0,"['Jan 3, 2020']",1 hr 49 min,['Drama'],31 theaters
Last Christmas,Universal Pictures,114410553448,25000000,"['Nov 8, 2019', 'Jan 2, 2020']",1 hr 43 min,"['Comedy', 'Drama', 'Romance']",3454 theaters
After Parkland,Kino Lorber,0,0,"['Feb 12, 2020']",1 hr 32 min,['Documentary'],71 theaters
Play the Flute,Five & Two Pictures,0,0,"['Jan 28, 2019']",1 hr 43 min,['Drama'],11 theaters
Buffaloed,Magnolia Pictures,137969,0,"['Feb 14, 2020']",1 hr 35 min,"['Comedy', 'Drama']",9 theaters
Olympic Dreams,IFC Films,92904,0,"['Feb 14, 2020']",1 hr 25 min,"['Comedy', 'Romance', 'Sport']",35 theaters
Wendy,Fox Searchlight Pictures,262144,0,"['Feb 28, 2020']",1 hr 52 min,"['Drama', 'Fantasy']",4 theaters
Countdown,STX Entertainment,88650822675,6500000,"['Oct 25, 2019', 'Jan 9, 2020']",1 hr 30 min,"['Horror', 'Thriller']",2675 theaters
Midnight Family,1091 Media,30301,0,"['Dec 6, 2019']",1 hr 21 min,"['Action', 'Crime', 'Documentary', 'Drama']",13 theaters
José,Outsider Pictures,111911,0,"['Jan 31, 2020']",1 hr 25 min,['Drama'],2 theaters
Synonyms,Kino Lorber,178912,0,"['Oct 25, 2019']",2 hr 3 min,"['Comedy', 'Drama']",13 theaters
Promare,GKIDS,10908554,0,"['Sep 17, 2019']",1 hr 51 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']",701 theaters
Burden,101 Studios,201605,0,"['Feb 28, 2020']",1 hr 57 min,['Drama'],5 theaters
Greed,Sony Pictures Classics,241634,0,"['Feb 28, 2020']",1 hr 44 min,"['Comedy', 'Drama']",4 theaters
Cane River,Oscilloscope,0,0,"['Feb 7, 2020']",1 hr 44 min,"['Drama', 'Romance']",5 theaters
Branagh Theatre Live: The Winter's Tale,Trafalgar Releasing,3438092,0,"['Dec 4, 2019']",3 hr,['Drama'],106 theaters
Tread,Gravitas Ventures,1058513,0,"['Feb 21, 2020']",1 hr 29 min,['Documentary'],25 theaters
Zombi Child,Film Movement,60513,0,"['Jan 24, 2020']",1 hr 43 min,['Fantasy'],39 theaters
L'Innocente,Film Movement,71911,0,"['Feb 14, 2020']",2 hr 9 min,"['Drama', 'Romance']",2 theaters
Les Misérables: The Staged Concert,Trafalgar Releasing,192034392,0,"['Dec 6, 2019']",2 hr 50 min,['Musical'],488 theaters
The Cordillera of Dreams,Icarus Films,44462,0,"['Feb 12, 2020']",1 hr 24 min,['Documentary'],8 theaters
The Whistlers,Magnolia Pictures,204583,0,"['Feb 28, 2020']",1 hr 37 min,"['Comedy', 'Crime']",3 theaters
Premature,IFC Films,99094,0,"['Feb 21, 2020']",1 hr 30 min,"['Drama', 'Music', 'Romance']",29 theaters
Lore,Indican Pictures,70847,0,"['Jan 17, 2020', 'Feb 13, 2020']",1 hr 49 min,['Thriller'],7 theaters
Recorder: The Marion Stokes Project,Zeitgeist Films,82161,0,"['Nov 15, 2019']",1 hr 27 min,['Documentary'],5 theaters
Pandora and the Flying Dutchman,Cohen Media Group,54661,0,"['Feb 7, 2020']",2 hr 2 min,"['Drama', 'Fantasy', 'Mystery', 'Romance']",2 theaters
Born to Be Wild,Warner Bros.,871478206,0,"['Apr 8, 2011']",40 min,"['Adventure', 'Documentary', 'Short']",208 theaters
Advocate,Film Movement,81862,0,"['Jan 3, 2020']",1 hr 54 min,['Documentary'],2 theaters
Downtown 81,Metrograph Pictures,252081,0,"['Oct 25, 2019']",1 hr 12 min,"['Comedy', 'Drama', 'Musical']",8 theaters
Saint Frances,Oscilloscope,142981,0,"['Feb 28, 2020']",1 hr 46 min,"['Comedy', 'Drama']",1 theater
The Cave,National Geographic Entertainment,211852,0,"['Oct 18, 2019']",1 hr 47 min,"['Documentary', 'War']",10 theaters
The Kingmaker,Greenwich Entertainment,195232,0,"['Nov 8, 2019']",1 hr 41 min,['Documentary'],18 theaters
Linda Ronstadt: The Sound of My Voice,Greenwich Entertainment,1132357,0,"['Sep 6, 2019']",1 hr 35 min,"['Biography', 'Documentary', 'Music']",247 theaters
Redoubt,Grasshopper Film,52531,0,"['Nov 1, 2019']",2 hr 14 min,['Drama'],3 theaters
"I Was at Home, But",The Cinema Guild,61151,0,"['Feb 14, 2020']",1 hr 45 min,['Drama'],1 theater
You Go to My Head,First Run,58641,0,"['Feb 14, 2020']",1 hr 56 min,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Thriller']",2 theaters
Playmobil: The Movie,STX Entertainment,6565302337,0,"['Dec 6, 2019', 'Jan 9, 2020']",1 hr 39 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",2337 theaters
A Beautiful Planet,IMAX,223983137,0,"['Apr 29, 2016']",46 min,['Documentary'],155 theaters
Foosballers,Kicking + Screening Media Group,0,0,"['Feb 11, 2020']",1 hr 36 min,"['Comedy', 'Documentary', 'Sport', 'Western']",9 theaters
The Perfect Race,Five & Two Pictures,34001,0,"['Oct 14, 2019']",No running time,['Drama'],2 theaters
The Wave,Epic Pictures,0,0,"['Jan 17, 2020']",1 hr 30 min,"['Sci-Fi', 'Thriller']",13 theaters
Black and Blue,Screen Gems,83768462062,12000000,"['Oct 25, 2019', 'Jan 2, 2020']",1 hr 48 min,"['Action', 'Crime', 'Drama', 'Thriller']",2062 theaters
Young Ahmed,Kino Lorber,42162,0,"['Feb 21, 2020']",1 hr 30 min,['Drama'],2 theaters
American Dharma,Utopia,72871,0,"['Nov 1, 2019']",1 hr 35 min,"['Biography', 'Documentary']",11 theaters
Under the Sea 3D,Warner Bros.,66118549,0,"['Feb 13, 2009']",45 min,"['Documentary', 'Short']",108 theaters
Lost in America,Indican Pictures,67982,0,"['Feb 28, 2020']",1 hr 45 min,['Documentary'],2 theaters
Afterward,Abramorama,64771,0,"['Jan 10, 2020']",1 hr 35 min,['Documentary'],1 theater
Kind Hearts and Coronets,Rialto Pictures,80041,0,"['Nov 27, 2019']",1 hr 46 min,"['Comedy', 'Crime']",3 theaters
Hubble 3D,Warner Bros.,41347739,0,"['Mar 19, 2010']",45 min,['Documentary'],151 theaters
By the Grace of God,Music Box Films,77652,0,"['Oct 18, 2019']",2 hr 17 min,"['Crime', 'Drama']",11 theaters
Matthias & Maxime,Entertainment One,6498850,0,"['Oct 9, 2019']",1 hr 59 min,['Drama'],53 theaters
Que Leones,Spanglish Movies,0,0,"['Dec 5, 2019']",1 hr 36 min,"['Comedy', 'Romance']",3 theaters
The Disappearance of My Mother,Kino Lorber,0,0,"['Dec 6, 2019']",1 hr 34 min,['Documentary'],3 theaters
Tremors,Film Movement,33404,0,"['Nov 29, 2019']",1 hr 47 min,['Drama'],6 theaters
Blood Widow,Indican Pictures,0,0,"['Aug 4, 2019', 'Jan 30, 2020']",1 hr 34 min,"['Horror', 'Mystery', 'Thriller']",2 theaters
Just One More Kiss,Indican Pictures,24202,0,"['Feb 21, 2020']",1 hr 40 min,"['Drama', 'Romance']",2 theaters
Give Me Liberty,Music Box Films,332613,0,"['Aug 23, 2019']",1 hr 50 min,['Comedy'],18 theaters
Sympathy for the Devil,eOne Entertainment,121446,0,"['Nov 29, 2019']",1 hr 40 min,['War'],8 theaters
Straight Up,Strand Releasing,40751,0,"['Feb 28, 2020']",1 hr 35 min,"['Comedy', 'Romance']",1 theater
Stuffed,Music Box Films,16021,0,"['Oct 16, 2019']",1 hr 24 min,['Documentary'],3 theaters
Vitalina Varela,Grasshopper Film,46121,0,"['Feb 21, 2020']",2 hr 4 min,['Drama'],3 theaters
Maiden,Sony Pictures Classics,469316,0,"['Jun 28, 2019']",1 hr 37 min,"['Documentary', 'Sport']",180 theaters
Aquarela,Sony Pictures Classics,247535,0,"['Aug 16, 2019']",1 hr 30 min,['Documentary'],69 theaters
A Bigger Splash,Metrograph Pictures,180001,0,"['Jun 21, 2019']",1 hr 46 min,"['Biography', 'Documentary', 'Drama']",11 theaters
Ballon,Distrib Films,0,0,"['Sep 6, 2019']",2 hr 5 min,"['Drama', 'History', 'Thriller']",5 theaters
Ága,Big World Pictures,25531,0,"['Sep 4, 2019']",1 hr 36 min,['Drama'],3 theaters
The Hottest August,Grasshopper Film,38832,0,"['Nov 15, 2019']",1 hr 34 min,['Documentary'],2 theaters
Killing Sarai,Pantelion Films,226670160,0,"['Dec 6, 2019', 'Jan 3, 2020']",1 hr 46 min,"['Romance', 'Thriller']",160 theaters
Chinese Portrait,The Cinema Guild,5461,0,"['Dec 13, 2019']",1 hr 19 min,['Documentary'],2 theaters
Hustlers,STX Entertainment,331813613250,20000000,"['Sep 13, 2019', 'Jan 9, 2020']",1 hr 50 min,"['Comedy', 'Crime', 'Drama', 'Thriller']",3525 theaters
Deep Sea,Warner Bros.,70021343,0,"['Mar 3, 2006']",41 min,"['Documentary', 'Short']",47 theaters
Goldie,Film Movement,120010,0,"['Feb 21, 2020']",1 hr 28 min,['Drama'],10 theaters
Mr. Klein,Rialto Pictures,159151,0,"['Sep 6, 2019']",2 hr 3 min,"['Crime', 'Drama', 'Mystery', 'Thriller', 'War']",6 theaters
Little Joe,Magnolia Pictures,1062612,0,"['Dec 6, 2019']",1 hr 45 min,"['Drama', 'Horror', 'Mystery', 'Sci-Fi']",12 theaters
Frankie,Sony Pictures Classics,194354,0,"['Oct 25, 2019']",1 hr 40 min,['Drama'],117 theaters
Christ Stopped at Eboli,Rialto Pictures,90061,0,"['Apr 3, 2019']",2 hr 30 min,['Drama'],3 theaters
To the Arctic 3D,Warner Bros.,27022850,0,"['Apr 20, 2012']",40 min,['Documentary'],52 theaters
End of the Century,The Cinema Guild,100631,0,"['Aug 16, 2019']",1 hr 24 min,['Drama'],6 theaters
Duet for Cannibals,Metrograph Pictures,0,0,"['Nov 22, 2019']",1 hr 45 min,['Drama'],4 theaters
Space Station 3D,IMAX,48948824,0,"['Apr 19, 2002']",47 min,['Documentary'],64 theaters
Be Natural: The Untold Story of Alice Guy-Blaché,Zeitgeist Films,32371,0,"['Apr 19, 2019']",1 hr 43 min,['Documentary'],14 theaters
Light from Light,Grasshopper Film,47192,0,"['Nov 1, 2019']",1 hr 22 min,['Drama'],5 theaters
Edie,Music Box Films,88017,0,"['Sep 6, 2019', 'Dec 26, 2019']",1 hr 42 min,['Drama'],11 theaters
The Gliksmans,Indican Pictures,29223,0,"['Sep 27, 2019', 'Jan 23, 2020']",1 hr 12 min,['Comedy'],3 theaters
Hai Tang Hong,M Star International,31030,0,"['Feb 21, 2020']",1 hr 30 min,No genres,30 theaters
Millennium Actress,Fathom Events,0,0,"['Aug 13, 2019', 'Jan 23, 2020']",1 hr 27 min,"['Animation', 'Drama', 'Fantasy', 'Romance']",512 theaters
Spiral Farm,Indican Pictures,54753,0,"['Dec 13, 2019', 'Jan 23, 2020']",1 hr 25 min,['Drama'],3 theaters
A German Youth,Big World Pictures,4161,0,"['Oct 11, 2019']",1 hr 33 min,['Documentary'],1 theater
Hyènes,Metrograph Pictures,0,0,"['Apr 19, 2019']",1 hr 50 min,"['Comedy', 'Drama']",4 theaters
