Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Bad Boys for Life,Sony Pictures Releasing,625041053775,90000000,"['Jan 17, 2020']",2 hr 4 min,"['Action', 'Comedy', 'Crime', 'Thriller']",3775 theaters
1917,Universal Pictures,57621611,0,No relase date,1 hr 59 min,"['Drama', 'War']",3987 theaters
Sonic the Hedgehog,Paramount Pictures,580183484167,85000000,"['Feb 14, 2020']",1 hr 39 min,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",4198 theaters
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,1773838644406,0,"['Dec 20, 2019']",2 hr 22 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",4406 theaters
Jumanji: The Next Level,Sony Pictures Releasing,592515434227,125000000,"['Dec 13, 2019']",2 hr 3 min,"['Action', 'Adventure', 'Comedy', 'Fantasy']",4227 theaters
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Warner Bros.,330100174236,84500000,"['Feb 7, 2020']",1 hr 49 min,"['Action', 'Adventure', 'Crime']",4236 theaters
Dolittle,Universal Pictures,218440454155,175000000,"['Jan 17, 2020']",1 hr 41 min,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4155 theaters
Little Women,Sony Pictures Releasing,167553103308,40000000,"['Dec 25, 2019']",2 hr 15 min,"['Drama', 'Romance']",3308 theaters
Knives Out,Lionsgate,267695483461,40000000,"['Nov 27, 2019']",2 hr 11 min,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",3461 theaters
The Call of the Wild,Twentieth Century Fox,247916243752,135000000,"['Feb 21, 2020']",1 hr 40 min,"['Adventure', 'Drama', 'Family']",3865 theaters
Frozen II,Walt Disney Studios Motion Pictures,1302633584440,0,"['Nov 22, 2019']",1 hr 43 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",4440 theaters
Spies in Disguise,Twentieth Century Fox,133547983502,0,"['Dec 25, 2019']",1 hr 42 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",3502 theaters
Just Mercy,Warner Bros.,1078584,0,No relase date,2 hr 17 min,['Drama'],2457 theaters
The Gentlemen,STX Entertainment,106518842165,0,"['Jan 24, 2020']",1 hr 53 min,"['Action', 'Comedy', 'Crime']",2675 theaters
The Invisible Man,Universal Pictures,282056653610,7000000,"['Feb 28, 2020']",2 hr 4 min,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",3610 theaters
Parasite,Neon,3932163,0,No relase date,2 hr 12 min,"['Comedy', 'Drama', 'Thriller']",2001 theaters
Uncut Gems,A24,5372425,0,No relase date,2 hr 15 min,"['Crime', 'Drama', 'Thriller']",2686 theaters
Fantasy Island,Sony Pictures Releasing,123104202784,7000000,"['Feb 14, 2020']",1 hr 49 min,"['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",2784 theaters
Like a Boss,Paramount Pictures,100112723078,29000000,"['Jan 10, 2020', 'Feb 20, 2020']",1 hr 23 min,['Comedy'],3081 theaters
The Grudge,Sony Pictures Releasing,114041132642,10000000,"['Jan 3, 2020', 'Feb 27, 2020']",1 hr 34 min,"['Horror', 'Mystery']",2642 theaters
The Photograph,Universal Pictures,121818652516,16000000,"['Feb 14, 2020']",1 hr 46 min,"['Drama', 'Romance']",2516 theaters
Underwater,Twentieth Century Fox,70082972791,0,"['Jan 10, 2020']",1 hr 35 min,"['Action', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",2791 theaters
